               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  32,            0.041146,            0.020705,          0.00083177,             0.61873,             0.51907,             0.56153,             0.20337,            0.060479,            0.014468,           0.0041204,            0.003862,            0.003862,            0.003862
                  33,             0.03899,            0.019519,            0.001151,             0.70604,             0.57951,             0.60114,             0.21597,            0.058386,            0.014098,           0.0016276,            0.003664,            0.003664,            0.003664
                  34,            0.038586,            0.019802,           0.0017008,             0.67561,             0.56483,             0.59018,             0.20998,            0.059698,            0.014222,           0.0016564,            0.003466,            0.003466,            0.003466
                  35,            0.039495,            0.018271,           0.0011121,             0.63545,             0.56988,             0.55643,             0.18262,            0.059855,            0.014636,           0.0040025,            0.003268,            0.003268,            0.003268
                  36,            0.039227,            0.018601,           0.0024516,             0.61755,             0.59149,             0.58789,             0.20969,            0.058529,            0.014179,           0.0046243,             0.00307,             0.00307,             0.00307
                  37,            0.039263,            0.020044,           0.0034538,             0.81741,              0.5441,             0.59572,             0.20886,            0.060032,            0.013571,           0.0050708,            0.002872,            0.002872,            0.002872
                  38,            0.037915,            0.018162,          0.00093215,              0.7745,             0.58925,             0.62937,             0.21393,            0.059766,            0.013642,           0.0020321,            0.002674,            0.002674,            0.002674
                  39,            0.036282,            0.017366,           0.0014328,             0.74559,              0.5973,             0.63255,             0.22389,            0.059841,            0.013636,           0.0012645,            0.002476,            0.002476,            0.002476
                  40,            0.036261,            0.017462,          0.00092248,             0.73787,             0.55968,             0.60689,              0.2118,            0.060206,            0.014141,           0.0011675,            0.002278,            0.002278,            0.002278
                  41,            0.037624,            0.018655,          0.00082101,             0.82942,             0.52863,             0.59889,             0.21482,            0.061155,            0.013985,            0.001657,             0.00208,             0.00208,             0.00208
                  42,            0.035776,            0.018105,          0.00089382,             0.73039,             0.55978,             0.60918,             0.21509,             0.06235,              0.0139,            0.001788,            0.001882,            0.001882,            0.001882
                  43,             0.03493,               0.018,          0.00079829,             0.65784,             0.53665,             0.54748,             0.19462,            0.063175,            0.013855,           0.0015313,            0.001684,            0.001684,            0.001684
                  44,            0.034405,             0.01705,           0.0010085,               0.699,             0.58761,             0.59837,             0.19973,            0.062338,            0.014193,           0.0012537,            0.001486,            0.001486,            0.001486
                  45,            0.034116,            0.017165,          0.00063057,             0.71615,             0.63777,             0.61874,             0.21633,            0.060686,            0.014305,          0.00099684,            0.001288,            0.001288,            0.001288
                  46,            0.035809,            0.017455,          0.00082955,             0.74637,             0.62049,             0.61203,             0.21772,            0.059923,              0.0145,           0.0010731,             0.00109,             0.00109,             0.00109
                  47,            0.034709,            0.017359,           0.0012583,             0.71365,             0.61124,             0.59964,             0.20262,            0.060525,            0.014346,          0.00097661,            0.000892,            0.000892,            0.000892
                  48,            0.033072,            0.016901,           0.0011137,             0.77844,             0.60534,             0.63268,             0.20752,            0.060328,            0.014162,          0.00095762,            0.000694,            0.000694,            0.000694
                  49,            0.032969,            0.018716,           0.0005802,             0.74652,             0.58821,              0.5988,             0.20665,            0.060565,            0.014061,          0.00096513,            0.000496,            0.000496,            0.000496
